theta,h
2.241739477184676588e+00,4.999999987489041064e-01
2.257526374840906680e+00,4.999999987030724347e-01
2.273313272497136772e+00,4.999999988427408226e-01
2.289100170153366864e+00,4.999999989793100230e-01
2.304887067809596957e+00,4.999999991720227022e-01
2.320673965465827049e+00,4.999999994900946043e-01
2.336460863122057141e+00,4.999999999275591134e-01
2.352247760778287233e+00,5.000000003947026039e-01
2.368034658434517326e+00,5.000000007110967370e-01
2.383821556090747418e+00,5.000000010070088097e-01
2.399608453746977510e+00,5.000000013140197819e-01
2.415395351403207602e+00,5.000000019016407338e-01
2.431182249059437694e+00,5.000000025115440838e-01
2.446969146715667787e+00,5.000000029973505900e-01
2.462756044371898323e+00,5.000000033714975256e-01
2.478542942028128415e+00,5.000000039708434318e-01
2.494329839684358507e+00,5.000000044912813468e-01
2.510116737340588600e+00,5.000000051512795141e-01
2.525903634996818692e+00,5.000000060761340404e-01
2.541690532653048784e+00,5.000000069710328621e-01
2.557477430309278876e+00,5.000000077512255503e-01
2.573264327965508969e+00,5.000000083406098694e-01
2.589051225621739061e+00,5.000000089265000947e-01
2.604838123277969153e+00,5.000000093348490049e-01
2.620625020934199245e+00,5.000000097806537314e-01
2.636411918590429337e+00,5.000000101955489606e-01
2.652198816246659430e+00,5.000000104318261807e-01
2.667985713902889522e+00,5.000000105548279006e-01
2.683772611559119614e+00,5.000000107010643680e-01
2.699559509215349706e+00,5.000000105486914759e-01
2.715346406871579799e+00,5.000000104789106281e-01
2.731133304527809891e+00,5.000000104528906641e-01
2.746920202184040427e+00,5.000000102047169603e-01
2.762707099840270519e+00,5.000000101106443218e-01
2.778493997496500612e+00,5.000000100411916559e-01
2.794280895152730704e+00,5.000000098180703567e-01
2.810067792808960796e+00,5.000000096567354113e-01
2.825854690465190888e+00,5.000000097031498392e-01
2.841641588121420980e+00,5.000000096523369297e-01
2.857428485777651073e+00,5.000000094688586971e-01
2.873215383433881165e+00,5.000000092008148878e-01
2.889002281090111257e+00,5.000000089606975173e-01
2.904789178746341349e+00,5.000000088879341664e-01
2.920576076402571442e+00,5.000000087927590764e-01
2.936362974058801534e+00,5.000000086675098210e-01
2.952149871715031626e+00,5.000000083815454577e-01
2.967936769371261718e+00,5.000000081023764364e-01
2.983723667027491810e+00,5.000000079089604865e-01
2.999510564683721903e+00,5.000000077842912116e-01
3.015297462339951995e+00,5.000000075450629078e-01
3.031084359996182087e+00,5.000000074160718677e-01
3.046871257652412623e+00,5.000000072271045815e-01
3.062658155308642716e+00,5.000000070073254976e-01
3.078445052964872808e+00,5.000000068786900620e-01
3.094231950621102900e+00,5.000000066532458431e-01
3.110018848277332992e+00,5.000000065185613574e-01
3.125805745933563085e+00,5.000000066356159456e-01
3.141592643589793177e+00,5.000000066502419127e-01
