theta,h
1.704984956872852564e+00,4.999999999922507543e-01
1.720771854529082656e+00,4.999999999923267491e-01
1.736558752185312748e+00,4.999999999923925853e-01
1.752345649841542841e+00,4.999999999924636396e-01
1.768132547497772933e+00,4.999999999925301419e-01
1.783919445154003025e+00,4.999999999925903715e-01
1.799706342810233117e+00,4.999999999926476035e-01
1.815493240466463432e+00,4.999999999927241534e-01
1.831280138122693524e+00,4.999999999927990380e-01
1.847067035778923616e+00,4.999999999928932404e-01
1.862853933435153708e+00,4.999999999929843897e-01
1.878640831091383800e+00,4.999999999930972994e-01
1.894427728747613893e+00,4.999999999932325245e-01
1.910214626403843985e+00,4.999999999933769090e-01
1.926001524060074077e+00,4.999999999935135220e-01
1.941788421716304169e+00,4.999999999936533546e-01
1.957575319372534484e+00,4.999999999938031237e-01
1.973362217028764576e+00,4.999999999939449546e-01
1.989149114684994668e+00,4.999999999940787365e-01
2.004936012341224760e+00,4.999999999942052464e-01
2.020722909997454853e+00,4.999999999943475770e-01
2.036509807653684945e+00,4.999999999944778062e-01
2.052296705309915037e+00,4.999999999945921036e-01
2.068083602966145129e+00,4.999999999946985740e-01
2.083870500622375221e+00,4.999999999948048224e-01
2.099657398278605314e+00,4.999999999949110152e-01
2.115444295934835406e+00,4.999999999950188179e-01
2.131231193591065498e+00,4.999999999951231233e-01
2.147018091247295590e+00,4.999999999952349228e-01
2.162804988903525683e+00,4.999999999953383401e-01
2.178591886559756219e+00,4.999999999954448660e-01
2.194378784215986311e+00,4.999999999955737628e-01
2.210165681872216403e+00,4.999999999957124297e-01
2.225952579528446496e+00,4.999999999958371633e-01
2.241739477184676588e+00,4.999999999959559571e-01
2.257526374840906680e+00,4.999999999960910713e-01
2.273313272497136772e+00,4.999999999962145836e-01
2.289100170153366864e+00,4.999999999963259945e-01
2.304887067809596957e+00,4.999999999964378494e-01
2.320673965465827049e+00,4.999999999965601405e-01
2.336460863122057141e+00,4.999999999966865394e-01
2.352247760778287233e+00,4.999999999968293696e-01
2.368034658434517326e+00,4.999999999969843567e-01
2.383821556090747418e+00,4.999999999971424525e-01
2.399608453746977510e+00,4.999999999972806197e-01
2.415395351403207602e+00,4.999999999974053533e-01
2.431182249059437694e+00,4.999999999975470177e-01
2.446969146715667787e+00,4.999999999976833531e-01
2.462756044371898323e+00,4.999999999978135268e-01
2.478542942028128415e+00,4.999999999979309329e-01
2.494329839684358507e+00,4.999999999980418997e-01
2.510116737340588600e+00,4.999999999981404319e-01
2.525903634996818692e+00,4.999999999982256416e-01
2.541690532653048784e+00,4.999999999983260057e-01
2.557477430309278876e+00,4.999999999984363619e-01
2.573264327965508969e+00,4.999999999985348942e-01
2.589051225621739061e+00,4.999999999986207699e-01
2.604838123277969153e+00,4.999999999987057020e-01
2.620625020934199245e+00,4.999999999987926325e-01
2.636411918590429337e+00,4.999999999988987698e-01
2.652198816246659430e+00,4.999999999989951371e-01
2.667985713902889522e+00,4.999999999990824562e-01
2.683772611559119614e+00,4.999999999991729949e-01
2.699559509215349706e+00,4.999999999992733590e-01
2.715346406871579799e+00,4.999999999993785527e-01
2.731133304527809891e+00,4.999999999994893529e-01
2.746920202184040427e+00,4.999999999996070921e-01
2.762707099840270519e+00,4.999999999997382094e-01
2.778493997496500612e+00,4.999999999998850919e-01
2.794280895152730704e+00,5.000000000000602851e-01
2.810067792808960796e+00,5.000000000002470246e-01
2.825854690465190888e+00,5.000000000004317657e-01
2.841641588121420980e+00,5.000000000006084022e-01
2.857428485777651073e+00,5.000000000007776002e-01
2.873215383433881165e+00,5.000000000009412471e-01
2.889002281090111257e+00,5.000000000011251000e-01
2.904789178746341349e+00,5.000000000013403723e-01
2.920576076402571442e+00,5.000000000015848434e-01
